1	1.091	4.347	35
2	3.333	5.147	20
3	8.374	6.63	30
4	2.768	1.432	30
5	5.87	3.445	30
6	8.367	4.058	35
7	0.712	0.853	25
8	7.028	9.326	20
9	6.988	8.384	20
10	4.64	8.794	25
11	4.369	9.357	30
12	5.622	0.725	35
13	9.285	3.788	30
14	2.305	5.379	25
15	2.218	1.051	35
16	4.202	8.017	30
17	3.335	7.396	20
18	8.648	0.521	30
19	1.772	4.822	35
20	4.933	9.205	35
21	4.297	0.415	30
22	5.643	2.94	30
23	6.562	5.009	30
24	9.786	6.097	20
25	2.322	2.642	20
26	2.408	4.231	30
27	7.968	3.666	30
28	8.317	9.425	20
29	1.135	1.237	35
30	9.633	0.7	20
31	1.473	9.643	20
32	1.436	4.425	20
33	9.252	3.703	20
34	5.07	1.702	30
35	1.549	0.542	30
36	3.483	6.578	35
37	6.598	5.782	20
38	3.118	9.871	35
39	3.516	6.038	35
40	1.478	0.649	25
41	6.589	1.621	30
42	1.851	4.754	35
43	9.544	0.019	30
44	8.978	4.415	30
45	9.437	2.609	25
46	7.237	9.384	25
47	3.704	7.158	20
48	7.81	1.631	25
49	0.111	4.762	30
50	9.403	6.903	25
51	9.937	4.609	35
52	3.574	9.551	25
53	7.476	7.125	25
54	7.929	3.971	20
55	7.059	1.177	20
56	4.758	2.401	20
57	4.947	8.636	20
58	3.081	4.36	25
59	6.95	4.979	20
60	8.228	6.919	20
61	5	5	0
